County,Frequency
Adams,1714.00
Asotin,2090.00
Benton,22381.00
Chelan,7885.00
Clallam,5804.00
Clark,38093.00
Columbia,336.00
Cowlitz,12992.00
Douglas,4267.00
Ferry,763.00
Franklin,12329.00
Garfield,181.00
Grant,11320.00
Grays Harbor,8001.00
Island,4198.00
Jefferson,1317.00
King,150442.00
Kitsap,17302.00
Kittitas,4168.00
Klickitat,1885.00
Lewis,9541.00
Lincoln,1291.00
Mason,5482.00
Okanogan,3958.00
Pacific,1720.00
Pend Oreille,1259.00
Pierce,92653.00
San Juan,450.00
Skagit,11092.00
Skamania,740.00
Snohomish,62212.00
Spokane,54574.00
Stevens,4513.00
Thurston,23269.00
Wahkiakum,264.00
Walla Walla,6006.00
Whatcom,17784.00
Whitman,3430.00
Yakima,26566.00
